timestamp,tag,target,volume_ul,kind,index,value,unit,vial_total
2026-06-12T12:34:58,blue,B31,250,sample,0,0.2368,g,
2026-06-12T12:34:58,blue,B31,250,sample,1,0.2369,g,
2026-06-12T12:34:58,blue,B31,250,sample,2,0.2369,g,
2026-06-12T12:34:58,blue,B31,250,sample,3,0.2370,g,
2026-06-12T12:34:58,blue,B31,250,sample,4,0.2370,g,
2026-06-12T12:34:58,blue,B31,250,final,,0.2369,g,0.2369
2026-06-12T12:35:21,blue,B32,650,sample,0,0.6440,g,
2026-06-12T12:35:21,blue,B32,650,sample,1,0.6441,g,
2026-06-12T12:35:21,blue,B32,650,sample,2,0.6441,g,
2026-06-12T12:35:21,blue,B32,650,sample,3,0.6441,g,
2026-06-12T12:35:21,blue,B32,650,sample,4,0.6441,g,
2026-06-12T12:35:21,blue,B32,650,final,,0.6441,g,0.6441
2026-06-12T12:36:43,brown,B31,650,sample,0,0.6365,g,
2026-06-12T12:36:43,brown,B31,650,sample,1,0.6365,g,
2026-06-12T12:36:43,brown,B31,650,sample,2,0.6365,g,
2026-06-12T12:36:43,brown,B31,650,sample,3,0.6365,g,
2026-06-12T12:36:43,brown,B31,650,sample,4,0.6365,g,
2026-06-12T12:36:43,brown,B31,650,final,,0.6365,g,0.8734
2026-06-12T12:37:00,brown,B32,250,sample,0,0.2496,g,
2026-06-12T12:37:00,brown,B32,250,sample,1,0.2496,g,
2026-06-12T12:37:00,brown,B32,250,sample,2,0.2496,g,
2026-06-12T12:37:00,brown,B32,250,sample,3,0.2497,g,
2026-06-12T12:37:00,brown,B32,250,sample,4,0.2497,g,
2026-06-12T12:37:00,brown,B32,250,final,,0.2496,g,0.8937
