timestamp,tag,target,volume_ul,kind,index,value,unit,vial_total
2026-06-12T11:46:08,blue,B31,300,sample,0,0.2864,g,
2026-06-12T11:46:08,blue,B31,300,sample,1,0.2866,g,
2026-06-12T11:46:08,blue,B31,300,sample,2,0.2866,g,
2026-06-12T11:46:08,blue,B31,300,sample,3,0.2865,g,
2026-06-12T11:46:08,blue,B31,300,sample,4,0.2864,g,
2026-06-12T11:46:08,blue,B31,300,final,,0.2865,g,0.2865
2026-06-12T11:46:22,blue,B32,600,sample,0,0.5932,g,
2026-06-12T11:46:22,blue,B32,600,sample,1,0.5931,g,
2026-06-12T11:46:22,blue,B32,600,sample,2,0.5930,g,
2026-06-12T11:46:22,blue,B32,600,sample,3,0.5929,g,
2026-06-12T11:46:22,blue,B32,600,sample,4,0.5927,g,
2026-06-12T11:46:22,blue,B32,600,final,,0.5930,g,0.5930
2026-06-12T11:47:42,brown,B31,600,sample,0,0.5869,g,
2026-06-12T11:47:42,brown,B31,600,sample,1,0.5867,g,
2026-06-12T11:47:42,brown,B31,600,sample,2,0.5867,g,
2026-06-12T11:47:42,brown,B31,600,sample,3,0.5865,g,
2026-06-12T11:47:42,brown,B31,600,sample,4,0.5865,g,
2026-06-12T11:47:42,brown,B31,600,final,,0.5867,g,0.8732
2026-06-12T11:47:56,brown,B32,300,sample,0,0.2980,g,
2026-06-12T11:47:56,brown,B32,300,sample,1,0.2978,g,
2026-06-12T11:47:56,brown,B32,300,sample,2,0.2977,g,
2026-06-12T11:47:56,brown,B32,300,sample,3,0.2975,g,
2026-06-12T11:47:56,brown,B32,300,sample,4,0.2975,g,
2026-06-12T11:47:56,brown,B32,300,final,,0.2977,g,0.8907
